name,stars,url,created_at
bazelbuild/bazel,25262,https://github.com/bazelbuild/bazel.git,2014-06-12T16:00:38Z
scwang90/SmartRefreshLayout,25174,https://github.com/scwang90/SmartRefreshLayout.git,2017-06-02T09:52:50Z
jenkinsci/jenkins,25129,https://github.com/jenkinsci/jenkins.git,2010-11-22T21:21:23Z
libgdx/libgdx,24947,https://github.com/libgdx/libgdx.git,2012-08-10T19:34:38Z
proxyee-down-org/proxyee-down,24787,https://github.com/proxyee-down-org/proxyee-down.git,2017-10-25T10:07:27Z
apache/skywalking,24761,https://github.com/apache/skywalking.git,2015-11-07T03:30:36Z
greenrobot/EventBus,24748,https://github.com/greenrobot/EventBus.git,2012-07-16T16:55:40Z
Netflix/Hystrix,24467,https://github.com/Netflix/Hystrix.git,2012-11-19T20:14:46Z
google/gson,24347,https://github.com/google/gson.git,2015-03-19T18:21:20Z
redisson/redisson,24276,https://github.com/redisson/redisson.git,2014-01-11T14:06:25Z
iBotPeaches/Apktool,24141,https://github.com/iBotPeaches/Apktool.git,2012-03-19T17:46:53Z
dataease/dataease,23676,https://github.com/dataease/dataease.git,2021-02-02T04:10:21Z
EnterpriseQualityCoding/FizzBuzzEnterpriseEdition,23568,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition.git,2012-11-24T00:14:41Z
LSPosed/LSPosed,23232,https://github.com/LSPosed/LSPosed.git,2020-12-12T08:39:37Z
doocs/source-code-hunter,23136,https://github.com/doocs/source-code-hunter.git,2019-10-28T01:35:10Z
alibaba/Sentinel,23106,https://github.com/alibaba/Sentinel.git,2018-04-04T06:37:33Z
ashishps1/awesome-low-level-design,22915,https://github.com/ashishps1/awesome-low-level-design.git,2023-11-17T10:15:12Z
openjdk/jdk,22735,https://github.com/openjdk/jdk.git,2018-09-17T12:29:20Z
apache/rocketmq,22387,https://github.com/apache/rocketmq.git,2016-11-30T08:00:08Z
kunal-kushwaha/DSA-Bootcamp-Java,22375,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java.git,2021-07-30T12:23:25Z
google/ExoPlayer,21935,https://github.com/google/ExoPlayer.git,2014-06-13T21:19:18Z
elunez/eladmin,21933,https://github.com/elunez/eladmin.git,2018-12-14T08:54:24Z
oracle/graal,21530,https://github.com/oracle/graal.git,2016-01-14T17:11:35Z
CarGuo/GSYVideoPlayer,21431,https://github.com/CarGuo/GSYVideoPlayer.git,2016-11-13T12:34:31Z
thingsboard/thingsboard,21422,https://github.com/thingsboard/thingsboard.git,2016-12-01T09:33:30Z
brettwooldridge/HikariCP,21076,https://github.com/brettwooldridge/HikariCP.git,2013-10-08T05:43:03Z
apache/shardingsphere,20701,https://github.com/apache/shardingsphere.git,2016-01-18T12:49:26Z
didi/DoKit,20434,https://github.com/didi/DoKit.git,2018-08-14T10:32:07Z
mybatis/mybatis-3,20401,https://github.com/mybatis/mybatis-3.git,2013-02-14T19:03:32Z
linlinjava/litemall,20206,https://github.com/linlinjava/litemall.git,2018-03-22T16:42:30Z
ReactiveX/RxAndroid,20181,https://github.com/ReactiveX/RxAndroid.git,2014-08-19T03:46:38Z
yudaocode/SpringBoot-Labs,20078,https://github.com/yudaocode/SpringBoot-Labs.git,2018-09-12T14:51:46Z
JetBrains/intellij-community,19872,https://github.com/JetBrains/intellij-community.git,2011-09-30T13:33:05Z
dianping/cat,18969,https://github.com/dianping/cat.git,2012-12-05T02:31:48Z
lionsoul2014/ip2region,18869,https://github.com/lionsoul2014/ip2region.git,2015-11-02T00:43:13Z
Baseflow/PhotoView,18858,https://github.com/Baseflow/PhotoView.git,2012-07-17T16:39:00Z
antlr/antlr4,18802,https://github.com/antlr/antlr4.git,2010-02-04T01:36:28Z
YunaiV/yudao-cloud,18709,https://github.com/YunaiV/yudao-cloud.git,2019-05-02T16:06:49Z
dromara/Sa-Token,18707,https://github.com/dromara/Sa-Token.git,2020-02-03T10:34:29Z
williamfiset/Algorithms,18540,https://github.com/williamfiset/Algorithms.git,2017-03-18T02:50:46Z
Tencent/APIJSON,18410,https://github.com/Tencent/APIJSON.git,2016-11-21T12:03:29Z
LMAX-Exchange/disruptor,18273,https://github.com/LMAX-Exchange/disruptor.git,2012-09-21T13:42:24Z
forezp/SpringCloudLearning,17978,https://github.com/forezp/SpringCloudLearning.git,2017-04-08T10:06:56Z
Tencent/tinker,17820,https://github.com/Tencent/tinker.git,2016-09-06T06:57:52Z
ben-manes/caffeine,17573,https://github.com/ben-manes/caffeine.git,2014-12-13T08:45:11Z
infinilabs/analysis-ik,17436,https://github.com/infinilabs/analysis-ik.git,2011-12-16T09:01:45Z
openzipkin/zipkin,17418,https://github.com/openzipkin/zipkin.git,2012-06-06T18:26:16Z
justauth/JustAuth,17417,https://github.com/justauth/JustAuth.git,2019-01-31T09:42:20Z
baomidou/mybatis-plus,17325,https://github.com/baomidou/mybatis-plus.git,2016-08-18T10:06:53Z
gyoogle/tech-interview-for-developer,17231,https://github.com/gyoogle/tech-interview-for-developer.git,2019-06-09T04:42:57Z
material-components/material-components-android,17217,https://github.com/material-components/material-components-android.git,2016-12-05T16:11:29Z
facebook/fresco,17163,https://github.com/facebook/fresco.git,2015-03-02T09:58:04Z
alibaba/DataX,17147,https://github.com/alibaba/DataX.git,2018-01-18T10:09:47Z
nostra13/Android-Universal-Image-Loader,17056,https://github.com/nostra13/Android-Universal-Image-Loader.git,2011-11-27T18:48:23Z
heibaiying/BigData-Notes,16885,https://github.com/heibaiying/BigData-Notes.git,2019-03-10T01:40:01Z
questdb/questdb,16788,https://github.com/questdb/questdb.git,2014-04-28T23:29:15Z
Grasscutters/Grasscutter,16769,https://github.com/Grasscutters/Grasscutter.git,2022-04-17T12:43:46Z
winterbe/java8-tutorial,16768,https://github.com/winterbe/java8-tutorial.git,2014-03-16T17:25:43Z
shuzheng/zheng,16703,https://github.com/shuzheng/zheng.git,2016-10-04T10:07:06Z
prestodb/presto,16667,https://github.com/prestodb/presto.git,2012-08-09T01:03:37Z
JeffLi1993/springboot-learning-example,16595,https://github.com/JeffLi1993/springboot-learning-example.git,2017-02-06T07:02:25Z
neo4j/neo4j,16174,https://github.com/neo4j/neo4j.git,2012-11-12T08:46:15Z
ashishps1/awesome-leetcode-resources,16087,https://github.com/ashishps1/awesome-leetcode-resources.git,2023-10-25T01:48:19Z
android-hacker/VirtualXposed,15988,https://github.com/android-hacker/VirtualXposed.git,2017-12-01T09:00:58Z
dyc87112/SpringBoot-Learning,15794,https://github.com/dyc87112/SpringBoot-Learning.git,2016-08-21T03:39:06Z
android10/Android-CleanArchitecture,15562,https://github.com/android10/Android-CleanArchitecture.git,2014-08-19T14:09:26Z
quarkusio/quarkus,15558,https://github.com/quarkusio/quarkus.git,2018-07-06T00:44:20Z
apache/hadoop,15512,https://github.com/apache/hadoop.git,2014-08-28T07:00:08Z
Konloch/bytecode-viewer,15459,https://github.com/Konloch/bytecode-viewer.git,2014-10-14T10:26:46Z
mockito/mockito,15435,https://github.com/mockito/mockito.git,2012-10-13T20:27:12Z
apache/pulsar,15178,https://github.com/apache/pulsar.git,2016-06-28T07:00:03Z
apache/doris,15154,https://github.com/apache/doris.git,2017-08-10T12:13:30Z
java-decompiler/jd-gui,15056,https://github.com/java-decompiler/jd-gui.git,2015-03-25T05:28:41Z
zhisheng17/flink-learning,15055,https://github.com/zhisheng17/flink-learning.git,2019-01-01T07:38:28Z
supertokens/supertokens-core,14987,https://github.com/supertokens/supertokens-core.git,2020-01-05T13:30:52Z
zaproxy/zaproxy,14908,https://github.com/zaproxy/zaproxy.git,2015-06-03T16:55:01Z
cryptomator/cryptomator,14836,https://github.com/cryptomator/cryptomator.git,2014-02-02T00:43:47Z
elastic/logstash,14816,https://github.com/elastic/logstash.git,2010-11-18T01:31:50Z
theonedev/onedev,14800,https://github.com/theonedev/onedev.git,2018-11-06T02:57:01Z
eclipse-vertx/vert.x,14662,https://github.com/eclipse-vertx/vert.x.git,2011-06-17T14:54:55Z
arduino/Arduino,14552,https://github.com/arduino/Arduino.git,2010-09-17T19:10:36Z
hdodenhof/CircleImageView,14543,https://github.com/hdodenhof/CircleImageView.git,2014-01-17T16:44:46Z
Tencent/QMUI_Android,14522,https://github.com/Tencent/QMUI_Android.git,2017-04-21T10:03:18Z
alibaba/ARouter,14500,https://github.com/alibaba/ARouter.git,2016-12-14T01:27:49Z
GoogleContainerTools/jib,14362,https://github.com/GoogleContainerTools/jib.git,2018-01-22T18:30:43Z
deeplearning4j/deeplearning4j,14214,https://github.com/deeplearning4j/deeplearning4j.git,2013-11-27T02:03:28Z
languagetool-org/languagetool,14214,https://github.com/languagetool-org/languagetool.git,2013-08-08T16:37:22Z
apache/dolphinscheduler,14200,https://github.com/apache/dolphinscheduler.git,2019-03-01T16:39:25Z
DuGuQiuBai/Java,14193,https://github.com/DuGuQiuBai/Java.git,2015-11-25T07:30:08Z
kekingcn/kkFileView,14027,https://github.com/kekingcn/kkFileView.git,2017-12-12T11:41:08Z
Netflix/zuul,13999,https://github.com/Netflix/zuul.git,2013-03-13T18:53:57Z
janishar/mit-deep-learning-book-pdf,13969,https://github.com/janishar/mit-deep-learning-book-pdf.git,2017-04-07T10:46:50Z
apache/druid,13965,https://github.com/apache/druid.git,2012-10-23T19:08:07Z
xpipe-io/xpipe,13910,https://github.com/xpipe-io/xpipe.git,2023-01-27T02:25:38Z
sqshq/piggymetrics,13881,https://github.com/sqshq/piggymetrics.git,2015-03-29T17:56:31Z
orhanobut/logger,13879,https://github.com/orhanobut/logger.git,2015-03-20T22:30:12Z
pinpoint-apm/pinpoint,13815,https://github.com/pinpoint-apm/pinpoint.git,2014-10-20T09:27:22Z
lgvalle/Material-Animations,13799,https://github.com/lgvalle/Material-Animations.git,2015-03-08T20:54:00Z
seaswalker/spring-analysis,13766,https://github.com/seaswalker/spring-analysis.git,2016-09-09T07:46:32Z
JessYanCoding/AndroidAutoSize,13749,https://github.com/JessYanCoding/AndroidAutoSize.git,2018-08-17T09:04:19Z
LuckSiege/PictureSelector,13595,https://github.com/LuckSiege/PictureSelector.git,2017-01-04T07:47:39Z
tink-crypto/tink,13559,https://github.com/tink-crypto/tink.git,2014-06-06T16:21:09Z
Bigkoo/Android-PickerView,13469,https://github.com/Bigkoo/Android-PickerView.git,2014-12-28T01:46:38Z
projectlombok/lombok,13424,https://github.com/projectlombok/lombok.git,2009-06-08T19:46:41Z
macrozheng/mall-learning,13368,https://github.com/macrozheng/mall-learning.git,2019-04-12T13:20:31Z
pxb1988/dex2jar,13100,https://github.com/pxb1988/dex2jar.git,2015-03-16T09:13:07Z
metersphere/metersphere,13045,https://github.com/metersphere/metersphere.git,2020-02-03T02:06:12Z
youth5201314/banner,13040,https://github.com/youth5201314/banner.git,2016-04-22T05:50:25Z
alibaba/COLA,12922,https://github.com/alibaba/COLA.git,2018-02-06T13:46:27Z
macrozheng/mall-swarm,12890,https://github.com/macrozheng/mall-swarm.git,2019-11-25T06:55:31Z
plantuml/plantuml,12830,https://github.com/plantuml/plantuml.git,2010-11-04T15:55:50Z
codecentric/spring-boot-admin,12827,https://github.com/codecentric/spring-boot-admin.git,2014-07-25T11:39:13Z
Netflix/conductor,12788,https://github.com/Netflix/conductor.git,2016-12-07T22:48:42Z
apache/zookeeper,12743,https://github.com/apache/zookeeper.git,2009-03-27T15:41:56Z
google/guice,12732,https://github.com/google/guice.git,2014-05-28T23:18:53Z
microg/GmsCore,12702,https://github.com/microg/GmsCore.git,2014-04-23T19:28:47Z
facebook/stetho,12701,https://github.com/facebook/stetho.git,2015-01-22T22:34:10Z
Netflix/eureka,12696,https://github.com/Netflix/eureka.git,2012-07-26T22:23:07Z
trinodb/trino,12662,https://github.com/trinodb/trino.git,2019-01-19T06:38:14Z
opensearch-project/OpenSearch,12642,https://github.com/opensearch-project/OpenSearch.git,2021-01-29T22:10:00Z
greenrobot/greenDAO,12617,https://github.com/greenrobot/greenDAO.git,2011-10-22T16:15:14Z
zhihu/Matisse,12564,https://github.com/zhihu/Matisse.git,2017-04-13T01:31:05Z
debezium/debezium,12547,https://github.com/debezium/debezium.git,2016-01-22T20:17:05Z
daimajia/AndroidViewAnimations,12473,https://github.com/daimajia/AndroidViewAnimations.git,2014-06-23T03:53:13Z
LawnchairLauncher/lawnchair,12440,https://github.com/LawnchairLauncher/lawnchair.git,2017-03-03T13:12:58Z
pagehelper-org/Mybatis-PageHelper,12384,https://github.com/pagehelper-org/Mybatis-PageHelper.git,2014-06-09T15:32:30Z
daimajia/AndroidSwipeLayout,12382,https://github.com/daimajia/AndroidSwipeLayout.git,2014-08-25T04:09:33Z
redis/jedis,12298,https://github.com/redis/jedis.git,2010-06-11T13:04:43Z
amitshekhariitbhu/android-interview-questions,12291,https://github.com/amitshekhariitbhu/android-interview-questions.git,2017-07-09T18:47:24Z
Team-xManager/xManager,12184,https://github.com/Team-xManager/xManager.git,2021-02-08T11:31:10Z
beemdevelopment/Aegis,12170,https://github.com/beemdevelopment/Aegis.git,2016-08-15T19:10:31Z
Yalantis/uCrop,12120,https://github.com/Yalantis/uCrop.git,2016-01-05T13:41:06Z
PaperMC/Paper,12027,https://github.com/PaperMC/Paper.git,2016-01-22T05:40:19Z
Tencent/matrix,11999,https://github.com/Tencent/matrix.git,2018-12-11T07:08:02Z
grpc/grpc-java,11996,https://github.com/grpc/grpc-java.git,2014-12-08T19:00:00Z
provectus/kafka-ui,11981,https://github.com/provectus/kafka-ui.git,2019-11-26T15:55:55Z
Tencent/VasSonic,11879,https://github.com/Tencent/VasSonic.git,2017-08-01T08:35:13Z
OpenRefine/OpenRefine,11789,https://github.com/OpenRefine/OpenRefine.git,2012-10-15T02:22:48Z
datahub-project/datahub,11719,https://github.com/datahub-project/datahub.git,2015-11-18T05:47:40Z
frank-lam/fullstack-tutorial,11698,https://github.com/frank-lam/fullstack-tutorial.git,2018-04-13T01:50:10Z
code4craft/webmagic,11696,https://github.com/code4craft/webmagic.git,2013-04-23T12:57:36Z
jd-opensource/joyagent-jdgenie,11575,https://github.com/jd-opensource/joyagent-jdgenie.git,2025-07-16T02:59:53Z
newbee-ltd/newbee-mall,11538,https://github.com/newbee-ltd/newbee-mall.git,2019-09-21T03:56:04Z
StarRocks/starrocks,11514,https://github.com/StarRocks/starrocks.git,2021-09-04T02:29:35Z
realm/realm-java,11489,https://github.com/realm/realm-java.git,2012-04-20T09:18:42Z
careercup/CtCI-6th-Edition,11478,https://github.com/careercup/CtCI-6th-Edition.git,2015-07-02T06:28:46Z
gyf-dev/ImmersionBar,11470,https://github.com/gyf-dev/ImmersionBar.git,2017-04-19T05:10:09Z
jhy/jsoup,11357,https://github.com/jhy/jsoup.git,2009-12-19T01:29:58Z
ssssssss-team/spider-flow,11317,https://github.com/ssssssss-team/spider-flow.git,2020-03-27T11:07:15Z
mission-peace/interview,11309,https://github.com/mission-peace/interview.git,2014-07-20T21:27:31Z
apereo/cas,11303,https://github.com/apereo/cas.git,2011-09-09T01:36:42Z
langchain4j/langchain4j,11299,https://github.com/langchain4j/langchain4j.git,2023-06-20T15:30:29Z
permissions-dispatcher/PermissionsDispatcher,11204,https://github.com/permissions-dispatcher/PermissionsDispatcher.git,2015-08-15T21:41:05Z
daniulive/SmarterStreaming,11165,https://github.com/daniulive/SmarterStreaming.git,2016-03-26T14:46:02Z
lingochamp/FileDownloader,11124,https://github.com/lingochamp/FileDownloader.git,2015-12-22T11:17:16Z
H07000223/FlycoTabLayout,11112,https://github.com/H07000223/FlycoTabLayout.git,2015-11-09T01:53:19Z
apple/pkl,11105,https://github.com/apple/pkl.git,2024-01-19T17:28:45Z
jwtk/jjwt,11054,https://github.com/jwtk/jjwt.git,2014-09-13T01:06:24Z
jfeinstein10/SlidingMenu,11025,https://github.com/jfeinstein10/SlidingMenu.git,2012-06-30T05:14:23Z
androidannotations/androidannotations,11008,https://github.com/androidannotations/androidannotations.git,2012-01-06T08:48:03Z
asLody/VirtualApp,10950,https://github.com/asLody/VirtualApp.git,2016-07-06T13:25:23Z
square/javapoet,10859,https://github.com/square/javapoet.git,2013-02-01T16:56:30Z
clojure/clojure,10833,https://github.com/clojure/clojure.git,2010-06-29T20:03:33Z
aosp-mirror/platform_frameworks_base,10823,https://github.com/aosp-mirror/platform_frameworks_base.git,2008-10-21T18:20:37Z
TooTallNate/Java-WebSocket,10801,https://github.com/TooTallNate/Java-WebSocket.git,2010-01-20T23:33:04Z
alibaba/vlayout,10761,https://github.com/alibaba/vlayout.git,2017-02-27T08:11:47Z
zfile-dev/zfile,10711,https://github.com/zfile-dev/zfile.git,2019-08-19T13:57:56Z
iflytek/astron-agent,10688,https://github.com/iflytek/astron-agent.git,2025-09-19T08:46:01Z
android-async-http/android-async-http,10622,https://github.com/android-async-http/android-async-http.git,2011-02-20T03:25:07Z
resilience4j/resilience4j,10605,https://github.com/resilience4j/resilience4j.git,2015-06-03T09:21:01Z
jeasonlzy/okhttp-OkGo,10587,https://github.com/jeasonlzy/okhttp-OkGo.git,2016-01-15T10:35:24Z
google/auto,10557,https://github.com/google/auto.git,2013-05-22T21:41:56Z
Activiti/Activiti,10519,https://github.com/Activiti/Activiti.git,2012-09-13T11:34:43Z
lipangit/JiaoZiVideoPlayer,10504,https://github.com/lipangit/JiaoZiVideoPlayer.git,2016-02-06T11:04:24Z
signalapp/Signal-Server,10458,https://github.com/signalapp/Signal-Server.git,2013-12-09T07:10:36Z
tbruyelle/RxPermissions,10441,https://github.com/tbruyelle/RxPermissions.git,2015-09-29T13:55:09Z
awsdocs/aws-doc-sdk-examples,10384,https://github.com/awsdocs/aws-doc-sdk-examples.git,2016-08-18T19:06:57Z
SonarSource/sonarqube,10364,https://github.com/SonarSource/sonarqube.git,2011-01-05T11:05:17Z
JessYanCoding/MVPArms,10275,https://github.com/JessYanCoding/MVPArms.git,2016-08-06T08:49:56Z
JingMatrix/LSPosed,10265,https://github.com/JingMatrix/LSPosed.git,2023-07-20T18:03:30Z
ZCShou/GoGoGo,10122,https://github.com/ZCShou/GoGoGo.git,2021-12-03T06:59:39Z
JakeWharton/ViewPagerIndicator,10086,https://github.com/JakeWharton/ViewPagerIndicator.git,2011-08-04T17:13:44Z
stanfordnlp/CoreNLP,10063,https://github.com/stanfordnlp/CoreNLP.git,2013-06-27T21:13:49Z
happydog-intj/JsBridge,9930,https://github.com/happydog-intj/JsBridge.git,2015-02-26T12:10:58Z
