owner,repository,stars,releases,created_at,url
bazelbuild,bazel,25308,251,2014-06-12T16:00:38Z,https://github.com/bazelbuild/bazel
jenkinsci,jenkins,25181,486,2010-11-22T21:21:23Z,https://github.com/jenkinsci/jenkins
scwang90,SmartRefreshLayout,25171,14,2017-06-02T09:52:50Z,https://github.com/scwang90/SmartRefreshLayout
libgdx,libgdx,24994,15,2012-08-10T19:34:38Z,https://github.com/libgdx/libgdx
apache,skywalking,24770,64,2015-11-07T03:30:36Z,https://github.com/apache/skywalking
proxyee-down-org,proxyee-down,24770,49,2017-10-25T10:07:27Z,https://github.com/proxyee-down-org/proxyee-down
greenrobot,EventBus,24741,7,2012-07-16T16:55:40Z,https://github.com/greenrobot/EventBus
Netflix,Hystrix,24460,79,2012-11-19T20:14:46Z,https://github.com/Netflix/Hystrix
redisson,redisson,24295,179,2014-01-11T14:06:25Z,https://github.com/redisson/redisson
google,gson,24290,12,2015-03-19T18:21:20Z,https://github.com/google/gson
iBotPeaches,Apktool,24229,28,2012-03-19T17:46:53Z,https://github.com/iBotPeaches/Apktool
dataease,dataease,23750,105,2021-02-02T04:10:21Z,https://github.com/dataease/dataease
EnterpriseQualityCoding,FizzBuzzEnterpriseEdition,23597,0,2012-11-24T00:14:41Z,https://github.com/EnterpriseQualityCoding/FizzBuzzEnterpriseEdition
LSPosed,LSPosed,23395,39,2020-12-12T08:39:37Z,https://github.com/LSPosed/LSPosed
ashishps1,awesome-low-level-design,23220,0,2023-11-17T10:15:12Z,https://github.com/ashishps1/awesome-low-level-design
doocs,source-code-hunter,23131,0,2019-10-28T01:35:10Z,https://github.com/doocs/source-code-hunter
alibaba,Sentinel,23102,26,2018-04-04T06:37:33Z,https://github.com/alibaba/Sentinel
openjdk,jdk,22755,0,2018-09-17T12:29:20Z,https://github.com/openjdk/jdk
kunal-kushwaha,DSA-Bootcamp-Java,22469,0,2021-07-30T12:23:25Z,https://github.com/kunal-kushwaha/DSA-Bootcamp-Java
apache,rocketmq,22403,24,2016-11-30T08:00:08Z,https://github.com/apache/rocketmq
elunez,eladmin,21939,1,2018-12-14T08:54:24Z,https://github.com/elunez/eladmin
google,ExoPlayer,21924,28,2014-06-13T21:19:18Z,https://github.com/google/ExoPlayer
oracle,graal,21546,32,2016-01-14T17:11:35Z,https://github.com/oracle/graal
thingsboard,thingsboard,21518,79,2016-12-01T09:33:30Z,https://github.com/thingsboard/thingsboard
CarGuo,GSYVideoPlayer,21428,65,2016-11-13T12:34:31Z,https://github.com/CarGuo/GSYVideoPlayer
brettwooldridge,HikariCP,21084,0,2013-10-08T05:43:03Z,https://github.com/brettwooldridge/HikariCP
apache,shardingsphere,20711,59,2016-01-18T12:49:26Z,https://github.com/apache/shardingsphere
didi,DoKit,20428,14,2018-08-14T10:32:07Z,https://github.com/didi/DoKit
mybatis,mybatis-3,20411,46,2013-02-14T19:03:32Z,https://github.com/mybatis/mybatis-3
linlinjava,litemall,20218,8,2018-03-22T16:42:30Z,https://github.com/linlinjava/litemall
ReactiveX,RxAndroid,20099,20,2014-08-19T03:46:38Z,https://github.com/ReactiveX/RxAndroid
yudaocode,SpringBoot-Labs,20077,0,2018-09-12T14:51:46Z,https://github.com/yudaocode/SpringBoot-Labs
JetBrains,intellij-community,19936,25,2011-09-30T13:33:05Z,https://github.com/JetBrains/intellij-community
dianping,cat,18967,3,2012-12-05T02:31:48Z,https://github.com/dianping/cat
lionsoul2014,ip2region,18911,22,2015-11-02T00:43:13Z,https://github.com/lionsoul2014/ip2region
Baseflow,PhotoView,18849,5,2012-07-17T16:39:00Z,https://github.com/Baseflow/PhotoView
antlr,antlr4,18815,31,2010-02-04T01:36:28Z,https://github.com/antlr/antlr4
YunaiV,yudao-cloud,18768,40,2019-05-02T16:06:49Z,https://github.com/YunaiV/yudao-cloud
dromara,Sa-Token,18738,39,2020-02-03T10:34:29Z,https://github.com/dromara/Sa-Token
williamfiset,Algorithms,18559,0,2017-03-18T02:50:46Z,https://github.com/williamfiset/Algorithms
Tencent,APIJSON,18404,112,2016-11-21T12:03:29Z,https://github.com/Tencent/APIJSON
LMAX-Exchange,disruptor,18284,14,2012-09-21T13:42:24Z,https://github.com/LMAX-Exchange/disruptor
forezp,SpringCloudLearning,17960,0,2017-04-08T10:06:56Z,https://github.com/forezp/SpringCloudLearning
Tencent,tinker,17726,60,2016-09-06T06:57:52Z,https://github.com/Tencent/tinker
ben-manes,caffeine,17589,72,2014-12-13T08:45:11Z,https://github.com/ben-manes/caffeine
infinilabs,analysis-ik,17437,1,2011-12-16T09:01:45Z,https://github.com/infinilabs/analysis-ik
justauth,JustAuth,17427,46,2019-01-31T09:42:20Z,https://github.com/justauth/JustAuth
openzipkin,zipkin,17423,99,2012-06-06T18:26:16Z,https://github.com/openzipkin/zipkin
baomidou,mybatis-plus,17344,40,2016-08-18T10:06:53Z,https://github.com/baomidou/mybatis-plus
gyoogle,tech-interview-for-developer,17262,0,2019-06-09T04:42:57Z,https://github.com/gyoogle/tech-interview-for-developer
material-components,material-components-android,17237,119,2016-12-05T16:11:29Z,https://github.com/material-components/material-components-android
alibaba,DataX,17166,7,2018-01-18T10:09:47Z,https://github.com/alibaba/DataX
facebook,fresco,17155,55,2015-03-02T09:58:04Z,https://github.com/facebook/fresco
nostra13,Android-Universal-Image-Loader,16964,0,2011-11-27T18:48:23Z,https://github.com/nostra13/Android-Universal-Image-Loader
heibaiying,BigData-Notes,16888,0,2019-03-10T01:40:01Z,https://github.com/heibaiying/BigData-Notes
questdb,questdb,16844,104,2014-04-28T23:29:15Z,https://github.com/questdb/questdb
winterbe,java8-tutorial,16761,0,2014-03-16T17:25:43Z,https://github.com/winterbe/java8-tutorial
Grasscutters,Grasscutter,16759,20,2022-04-17T12:43:46Z,https://github.com/Grasscutters/Grasscutter
shuzheng,zheng,16693,0,2016-10-04T10:07:06Z,https://github.com/shuzheng/zheng
prestodb,presto,16684,14,2012-08-09T01:03:37Z,https://github.com/prestodb/presto
JeffLi1993,springboot-learning-example,16592,0,2017-02-06T07:02:25Z,https://github.com/JeffLi1993/springboot-learning-example
neo4j,neo4j,16283,72,2012-11-12T08:46:15Z,https://github.com/neo4j/neo4j
ashishps1,awesome-leetcode-resources,16219,0,2023-10-25T01:48:19Z,https://github.com/ashishps1/awesome-leetcode-resources
android-hacker,VirtualXposed,15981,50,2017-12-01T09:00:58Z,https://github.com/android-hacker/VirtualXposed
dyc87112,SpringBoot-Learning,15786,0,2016-08-21T03:39:06Z,https://github.com/dyc87112/SpringBoot-Learning
quarkusio,quarkus,15590,467,2018-07-06T00:44:20Z,https://github.com/quarkusio/quarkus
android10,Android-CleanArchitecture,15550,0,2014-08-19T14:09:26Z,https://github.com/android10/Android-CleanArchitecture
apache,hadoop,15519,0,2014-08-28T07:00:08Z,https://github.com/apache/hadoop
Konloch,bytecode-viewer,15473,62,2014-10-14T10:26:46Z,https://github.com/Konloch/bytecode-viewer
mockito,mockito,15428,226,2012-10-13T20:27:12Z,https://github.com/mockito/mockito
apache,doris,15196,84,2017-08-10T12:13:30Z,https://github.com/apache/doris
apache,pulsar,15189,123,2016-06-28T07:00:03Z,https://github.com/apache/pulsar
java-decompiler,jd-gui,15058,18,2015-03-25T05:28:41Z,https://github.com/java-decompiler/jd-gui
zhisheng17,flink-learning,15054,0,2019-01-01T07:38:28Z,https://github.com/zhisheng17/flink-learning
supertokens,supertokens-core,15003,119,2020-01-05T13:30:52Z,https://github.com/supertokens/supertokens-core
zaproxy,zaproxy,14972,26,2015-06-03T16:55:01Z,https://github.com/zaproxy/zaproxy
cryptomator,cryptomator,14912,205,2014-02-02T00:43:47Z,https://github.com/cryptomator/cryptomator
theonedev,onedev,14849,469,2018-11-06T02:57:01Z,https://github.com/theonedev/onedev
elastic,logstash,14828,241,2010-11-18T01:31:50Z,https://github.com/elastic/logstash
eclipse-vertx,vert.x,14659,0,2011-06-17T14:54:55Z,https://github.com/eclipse-vertx/vert.x
arduino,Arduino,14562,37,2010-09-17T19:10:36Z,https://github.com/arduino/Arduino
hdodenhof,CircleImageView,14534,0,2014-01-17T16:44:46Z,https://github.com/hdodenhof/CircleImageView
Tencent,QMUI_Android,14507,35,2017-04-21T10:03:18Z,https://github.com/Tencent/QMUI_Android
alibaba,ARouter,14491,16,2016-12-14T01:27:49Z,https://github.com/alibaba/ARouter
GoogleContainerTools,jib,14367,176,2018-01-22T18:30:43Z,https://github.com/GoogleContainerTools/jib
languagetool-org,languagetool,14325,0,2013-08-08T16:37:22Z,https://github.com/languagetool-org/languagetool
DuGuQiuBai,Java,14229,0,2015-11-25T07:30:08Z,https://github.com/DuGuQiuBai/Java
deeplearning4j,deeplearning4j,14221,0,2013-11-27T02:03:28Z,https://github.com/deeplearning4j/deeplearning4j
apache,dolphinscheduler,14211,56,2019-03-01T16:39:25Z,https://github.com/apache/dolphinscheduler
kekingcn,kkFileView,14042,16,2017-12-12T11:41:08Z,https://github.com/kekingcn/kkFileView
Netflix,zuul,13999,66,2013-03-13T18:53:57Z,https://github.com/Netflix/zuul
janishar,mit-deep-learning-book-pdf,13995,3,2017-04-07T10:46:50Z,https://github.com/janishar/mit-deep-learning-book-pdf
apache,druid,13974,71,2012-10-23T19:08:07Z,https://github.com/apache/druid
xpipe-io,xpipe,13973,153,2023-01-27T02:25:38Z,https://github.com/xpipe-io/xpipe
sqshq,piggymetrics,13891,2,2015-03-29T17:56:31Z,https://github.com/sqshq/piggymetrics
orhanobut,logger,13875,16,2015-03-20T22:30:12Z,https://github.com/orhanobut/logger
