repository,cbo_avg,cbo_median,cbo_min,cbo_max,cbo_std,dit_avg,dit_median,dit_min,dit_max,dit_std,lcom_star_avg,lcom_star_median,lcom_star_min,lcom_star_max,lcom_star_std,loc_avg,loc_median,loc_min,loc_max,loc_std
CarGuo_GSYVideoPlayer,5.326409495548962,2.0,0,57,6.77884458403284,1.543026706231454,1.0,1,10,1.480558619887494,0.2197953102560241,0.0,0.0,1.0,0.3422428161559682,48.467359050445104,12.0,1,960,91.35662190217838
brettwooldridge_HikariCP,4.383783783783784,3.0,0,28,4.196110615894505,1.2864864864864864,1.0,1,5,0.6586226414144778,0.2127282739459459,0.0,0.0,1.0,0.3409330490275982,61.96756756756757,24.0,1,653,101.91086806311289
apache_shardingsphere,7.353878971595375,5.0,0,507,13.453826742517842,1.3682496912540698,1.0,1,7,0.7343043635631811,0.2141593109493671,0.0,0.0,1.0,0.325213448351842,27.987537891545976,11.0,1,1732,65.25639082521434
didi_DoKit,4.503505417463352,2.0,0,68,5.731571551425461,1.3205863607393244,1.0,1,18,0.8374771777838186,0.2617838613361842,0.0,0.0,1.0,0.3576763826618214,51.29381771829191,14.0,1,1541,105.81591263175758
mybatis_mybatis-3,3.569476082004556,2.0,0,76,4.993130547044256,1.2380410022779045,1.0,1,17,0.7795458028343913,0.2404225750435582,0.0,0.0,1.0,0.3240098057373503,34.77619589977221,16.0,1,1252,71.6838144660548
linlinjava_litemall,4.6175040518638575,3.0,0,50,5.849815592087357,1.1264181523500811,1.0,1,2,0.3325896620556942,0.4258802323502454,0.5,0.0,1.0,0.3680746126887736,147.2998379254457,37.0,2,2536,320.05883572852
ReactiveX_RxAndroid,2.272727272727273,1.0,0,18,3.788161605603482,1.1272727272727272,1.0,1,3,0.4326723786023175,0.0708313294444444,0.0,0.0,0.8,0.1990390029667442,26.4,6.0,3,581,80.5657311580863
yudaocode_SpringBoot-Labs,4.298017771701982,4.0,0,21,2.965149171825097,1.053315105946685,1.0,1,4,0.2715933400582451,0.1390774646969697,0.0,0.0,1.0,0.2554849696616801,12.107997265892005,9.0,2,84,10.260923458786674
dianping_cat,5.378435517970401,4.0,0,54,5.888665634560133,1.43446088794926,1.0,1,10,0.7083669894204084,0.3133565110923652,0.0,0.0,1.0,0.3563953459422859,51.79756871035941,26.0,1,702,69.97001499061902
lionsoul2014_ip2region,4.104166666666667,4.0,0,10,2.9335881981478003,1.2083333333333333,1.0,1,3,0.5819385554072728,0.2469677820833333,0.0,0.0,0.86580086,0.3356112137236011,53.5625,26.5,5,264,60.50985720648278
Baseflow_PhotoView,4.733333333333333,3.0,0,30,5.544858388223684,1.3555555555555556,1.0,1,3,0.5703091488416833,0.1632265973333333,0.0,0.0,1.0,0.2980221544390481,39.82222222222222,14.0,3,610,93.54684992725907
antlr_antlr4,5.773413897280967,3.0,0,54,7.225983967839099,1.8353474320241687,1.0,1,9,1.1662506160258557,0.278602370793313,0.0,0.0,1.0,0.3627721612707442,61.96676737160121,20.0,1,1372,114.81392740295767
YunaiV_yudao-cloud,8.162690653109113,6.0,0,108,7.526141174155948,1.214313648807196,1.0,1,4,0.4299359862356001,0.2679697037893511,0.0,0.0,1.0,0.3361391405990152,25.543605788032853,11.0,2,1421,47.99227555339232
dromara_Sa-Token,4.492146596858639,3.0,0,34,4.4203972707106125,1.219895287958115,1.0,1,6,0.7722731095482813,0.2001054158221024,0.0,0.0,1.0,0.3332230920454432,35.79842931937173,16.0,2,1287,73.07450513196802
williamfiset_Algorithms,2.7222222222222223,3.0,0,12,1.7710099152100571,1.0555555555555556,1.0,1,2,0.22931636131325,0.3091759284632516,0.22222222,0.0,1.0,0.3331703866262294,72.78444444444445,50.0,1,585,72.81559971252507
Tencent_APIJSON,5.914285714285715,3.0,0,44,8.67236633729219,1.2428571428571429,1.0,1,4,0.6688886366814536,0.5178937954237288,0.8055556,0.0,1.0,0.4620145770318658,198.95714285714288,19.0,2,4671,617.5933758119423
LMAX-Exchange_disruptor,4.480487804878049,3.0,0,32,4.822102713349284,1.2902439024390244,1.0,1,8,0.8101751683721469,0.2747924966032609,0.0,0.0,1.0,0.3314738485650495,32.114634146341466,13.0,1,910,66.83328914825591
forezp_SpringCloudLearning,4.5524475524475525,4.0,0,15,2.366664978874256,1.048951048951049,1.0,1,2,0.2165241205270644,0.0799533809790209,0.0,0.0,0.75,0.2046272206480386,7.853146853146853,5.0,2,61,8.69025522077608
Tencent_tinker,4.792307692307692,3.0,0,96,7.113932330289677,1.603846153846154,1.0,1,53,2.5056361545336507,0.3201195094156378,0.0,0.0,1.0,0.3701405689166481,77.7826923076923,28.0,1,1334,137.61391108652285
ben-manes_caffeine,5.065340909090909,3.0,0,92,6.825575291814188,1.552556818181818,1.0,1,22,1.3945040859272393,0.2167469798871085,0.0,0.0,1.0,0.3190894528155741,64.734375,15.5,1,3376,200.9851158997978
infinilabs_analysis-ik,4.926829268292683,4.0,0,17,4.052099726699968,1.3414634146341464,1.0,1,2,0.4800914547021731,0.4432035965853658,0.44444445,0.0,1.0,0.3316049632026276,72.6829268292683,32.0,1,362,85.75617733562703
